484
24.596748 24.596748 1.000000        Interval: 10000.000000
77 237 : 505
78 357 : 710
79 86 : 417
79 312 : 462
79 314 : 399
80 146 : 385
80 243 : 279
80 368 : 393
81 464 : 445
82 271 : 425
83 135 : 358
84 150 : 342
84 210 : 570
84 274 : 468
85 261 : 366
85 393 : 290
85 457 : 589
87 410 : 341
88 95 : 527
88 234 : 440
88 288 : 469
89 102 : 327
89 198 : 295
90 182 : 528
90 383 : 301
91 378 : 556
92 384 : 336
92 419 : 434
92 425 : 506
93 302 : 399
93 393 : 268
93 480 : 364
94 132 : 322
94 208 : 312
94 476 : 312
95 118 : 528
96 406 : 576
96 409 : 322
96 430 : 592
97 130 : 333
97 329 : 466
97 451 : 458
98 241 : 484
99 164 : 486
99 324 : 563
99 463 : 321
100 228 : 460
100 422 : 330
101 322 : 247
101 374 : 614
102 295 : 458
102 385 : 358
103 137 : 286
103 158 : 548
103 227 : 535
104 150 : 553
104 257 : 436
105 435 : 443
106 296 : 444
106 463 : 366
107 176 : 556
107 181 : 611
108 112 : 651
108 239 : 635
109 128 : 344
109 379 : 406
109 477 : 407
110 195 : 457
110 203 : 533
113 364 : 557
113 417 : 552
114 124 : 299
114 322 : 419
114 422 : 367
115 325 : 409
115 333 : 299
116 167 : 291
116 477 : 519
117 188 : 504
117 462 : 465
118 310 : 649
118 382 : 580
119 222 : 523
119 412 : 429
120 138 : 456
120 193 : 235
121 359 : 392
121 360 : 416
122 178 : 341
123 424 : 507
124 156 : 250
124 349 : 326
125 293 : 406
125 371 : 401
126 185 : 362
126 470 : 327
126 480 : 265
127 209 : 417
127 430 : 401
128 154 : 368
128 463 : 393
129 151 : 349
129 424 : 332
130 139 : 361
130 222 : 285
131 303 : 556
131 460 : 691
132 200 : 308
132 393 : 271
133 224 : 460
133 280 : 798
134 175 : 510
134 231 : 510
134 352 : 477
135 244 : 438
136 166 : 342
136 206 : 282
136 216 : 490
137 337 : 388
137 362 : 261
138 238 : 412
138 407 : 373
139 401 : 419
139 412 : 325
140 355 : 422
140 423 : 433
141 425 : 517
142 187 : 485
142 237 : 454
142 318 : 273
143 251 : 663
143 270 : 436
144 249 : 584
144 282 : 557
145 318 : 343
145 392 : 393
145 414 : 244
146 203 : 426
146 465 : 358
147 333 : 394
148 244 : 319
148 434 : 329
149 207 : 293
149 300 : 299
149 389 : 312
150 171 : 303
151 219 : 364
151 376 : 376
152 321 : 267
152 380 : 595
152 464 : 464
153 247 : 519
153 376 : 229
154 324 : 406
154 346 : 521
155 185 : 557
155 424 : 422
156 211 : 451
156 455 : 449
157 203 : 402
158 344 : 538
158 374 : 647
159 231 : 457
159 246 : 476
160 333 : 450
160 472 : 448
161 357 : 663
161 367 : 341
161 375 : 356
162 184 : 344
162 336 : 326
162 458 : 447
163 230 : 390
163 355 : 345
164 255 : 466
164 296 : 413
165 299 : 395
